Date,Price,FDI
2002-05,49.01,225.42
2002-06,48.86,225.42
2002-07,48.64,225.42
2002-08,48.47,225.42
2002-09,48.35,225.42
2002-10,48.34,225.42
2002-11,48.31,225.42
2002-12,47.95,225.42
2003-01,47.8,225.42
2003-02,47.61,225.42
2003-03,47.48,225.42
2003-04,47.32,182.33
2003-05,47.02,182.33
2003-06,46.41,182.33
2003-07,46.165,182.33
2003-08,45.86,182.33
2003-09,45.65,182.33
2003-10,45.32,182.33
2003-11,45.77,182.33
2003-12,45.625,182.33
2004-01,45.27,182.33
2004-02,45.205,182.33
2004-03,43.35,182.33
2004-04,44.47,268.25
2004-05,45.48,268.25
2004-06,45.975,268.25
2004-07,46.375,268.25
2004-08,46.315,268.25
2004-09,45.925,268.25
2004-10,45.335,268.25
2004-11,44.5,268.25
2004-12,43.25,268.25
2005-01,43.645,268.25
2005-02,43.635,268.25
2005-03,43.675,268.25
2005-04,43.43,461.67
2005-05,43.7,461.67
2005-06,43.485,461.67
2005-07,43.44,461.67
2005-08,44.015,461.67
2005-09,43.955,461.67
2005-10,45.07,461.67
2005-11,45.89,461.67
2005-12,44.995,461.67
2006-01,43.925,461.67
2006-02,44.275,461.67
2006-03,44.5,461.67
2006-04,44.9,1041
2006-05,46.305,1041
2006-06,45.88,1041
2006-07,46.5,1041
2006-08,46.48,1041
2006-09,45.91,1041
2006-10,44.92,1041
2006-11,44.6,1041
2006-12,44.115,1041
2007-01,44.08,1041
2007-02,44.09,1041
2007-03,43.12,1041
2007-04,41.045,2047.92
2007-05,40.375,2047.92
2007-06,40.525,2047.92
2007-07,40.19,2047.92
2007-08,40.64,2047.92
2007-09,39.66,2047.92
2007-10,39.195,2047.92
2007-11,39.52,2047.92
2007-12,39.405,2047.92
2008-01,39.28,2047.92
2008-02,39.92,2047.92
2008-03,40.03,2047.92
2008-04,40.46,2616.33
2008-05,42.16,2616.33
2008-06,42.93,2616.33
2008-07,42.483,2616.33
2008-08,43.87,2616.33
2008-09,46.815,2616.33
2008-10,49.325,2616.33
2008-11,49.575,2616.33
2008-12,48.62,2616.33
2009-01,48.85,2616.33
2009-02,51.005,2616.33
2009-03,50.57,2616.33
2009-04,49.725,2152.83
2009-05,47.12,2152.83
2009-06,47.75,2152.83
2009-07,47.825,2152.83
2009-08,48.69,2152.83
2009-09,47.735,2152.83
2009-10,46.925,2152.83
2009-11,46.535,2152.83
2009-12,46.41,2152.83
2010-01,46.125,2152.83
2010-02,46.105,2152.83
2010-03,44.825,2152.83
2010-04,44.275,1781.92
2010-05,46.365,1781.92
2010-06,46.445,1781.92
2010-07,46.405,1781.92
2010-08,47.065,1781.92
2010-09,44.57,1781.92
2010-10,44.325,1781.92
2010-11,45.8,1781.92
2010-12,44.713,1781.92
2011-01,45.825,1781.92
2011-02,45.265,1781.92
2011-03,44.535,1781.92
2011-04,44.255,2926.75
2011-05,45.06,2926.75
2011-06,44.7,2926.75
2011-07,44.21,2926.75
2011-08,45.8,2926.75
2011-09,49.02,2926.75
2011-10,48.695,2926.75
2011-11,52.13,2926.75
2011-12,53.015,2926.75
2012-01,49.515,2926.75
2012-02,49.11,2926.75
2012-03,50.875,2926.75
2012-04,52.665,2035.25
2012-05,56.04,2035.25
2012-06,55.51,2035.25
2012-07,55.56,2035.25
2012-08,55.525,2035.25
2012-09,52.855,2035.25
2012-10,53.805,2035.25
2012-11,54.265,2035.25
2012-12,54.995,2035.25
2013-01,53.275,2035.25
2013-02,54.37,2035.25
2013-03,54.285,2035.25
2013-04,53.685,2024.92
2013-05,56.58,2024.92
2013-06,59.533,2024.92
2013-07,60.855,2024.92
2013-08,65.705,2024.92
2013-09,62.59,2024.92
2013-10,61.624,2024.92
2013-11,62.399,2024.92
2013-12,61.81,2024.92
2014-01,62.685,2024.92
2014-02,61.795,2024.92
2014-03,60.015,2024.92
2014-04,60.345,2478.08
2014-05,59.195,2478.08
2014-06,60.06,2478.08
2014-07,60.555,2478.08
2014-08,60.52,2478.08
2014-09,61.94,2478.08
2014-10,61.405,2478.08
2014-11,62.21,2478.08
2014-12,63.035,2478.08
2015-01,62.02,2478.08
2015-02,61.659,2478.08
2015-03,62.291,2478.08
2015-04,63.529,3333.42
2015-05,63.743,3333.42
2015-06,63.604,3333.42
2015-07,63.988,3333.42
2015-08,66.412,3333.42
2015-09,65.517,3333.42
2015-10,65.423,3333.42
2015-11,66.462,3333.42
2015-12,66.208,3333.42
2016-01,67.878,3333.42
2016-02,68.208,3333.42
2016-03,66.255,3333.42
2016-04,66.425,3623.17
2016-05,67.209,3623.17
2016-06,67.504,3623.17
2016-07,66.655,3623.17
2016-08,66.973,3623.17
2016-09,66.556,3623.17
2016-10,66.686,3623.17
2016-11,68.598,3623.17
2016-12,67.955,3623.17
2017-01,67.515,3623.17
2017-02,66.725,3623.17
2017-03,64.86,3623.17
2017-04,64.29,3738.08
2017-05,64.51,3738.08
2017-06,64.62,3738.08
2017-07,64.2,3738.08
2017-08,63.935,3738.08
2017-09,65.31,3738.08
2017-10,64.75,3738.08
2017-11,64.49,3738.08
2017-12,63.84,3738.08
2018-01,63.55,3738.08
2018-02,65.21,3738.08
2018-03,65.115,3738.08
2018-04,66.46,3697.17
2018-05,67.43,3697.17
2018-06,68.46,3697.17
2018-07,68.46,3697.17
2018-08,71.005,3697.17
2018-09,72.51,3697.17
2018-10,73.96,3697.17
2018-11,69.65,3697.17
2018-12,69.57,3697.17
2019-01,70.96,3697.17
2019-02,70.84,3697.17
2019-03,69.185,3697.17
2019-04,69.647,4164.75
2019-05,69.58,4164.75
2019-06,68.95,4164.75
2019-07,68.875,4164.75
2019-08,71.453,4164.75
2019-09,70.645,4164.75
2019-10,70.98,4164.75
2019-11,71.749,4164.75
2019-12,71.355,4164.75
2020-01,71.555,4164.75
2020-02,72.539,4164.75
2020-03,75.343,4164.75
2020-04,75.08,4969.67
2020-05,75.605,4969.67
2020-06,75.545,4969.67
2020-07,74.918,4969.67
2020-08,73.257,4969.67
2020-09,73.57,4969.67
2020-10,74.567,4969.67
2020-11,74,4969.67
2020-12,73.054,4969.67
2021-01,72.906,4969.67
2021-02,73.937,4969.67
2021-03,73.148,4969.67
2021-04,74.055,4897.75
2021-05,72.518,4897.75
2021-06,74.365,4897.75
2021-07,74.344,4897.75
2021-08,72.951,4897.75
2021-09,74.17,4897.75
2021-10,74.935,4897.75
2021-11,75.1,4897.75
2021-12,74.486,4897.75
2022-01,74.556,4897.75
2022-02,75.52,4897.75
2022-03,75.928,4897.75
2022-04,76.535,3836.17
2022-05,77.598,3836.17
2022-06,78.965,3836.17
2022-07,79.351,3836.17
2022-08,79.511,3836.17
2022-09,81.522,3836.17
2022-10,82.78,3836.17
2022-11,81.374,3836.17
2022-12,82.745,3836.17
2023-01,81.769,3836.17
2023-02,82.645,3836.17
2023-03,82.185,3836.17
2023-04,81.745,3836.17
2023-05,82.69,3836.17